 -8.30,1.36,5.66,0.07,-0.03,-0.05,346,358,355,337,352|0,0,0,0,0,0,0,0,0,0,0
 -8.89,0.85,6.21,0.01,0.10,0.19,346,357,355,336,351|0,0,0,0,0,0,0,0,0,0,0
 8.23,2.46,2.84,0.46,0.28,-0.62,345,359,355,335,347|0,0,0,0,0,0,0,0,0,0,0
 -8.74,0.84,2.97,0.29,-0.22,-0.65,343,359,354,335,344|0,0,0,0,0,0,0,0,0,0,0
 -9.63,-1.81,4.16,0.14,-0.23,-0.49,345,359,356,335,347|0,0,0,0,0,0,0,0,0,0,0
 -9.43,-2.98,4.68,-0.15,0.07,0.06,342,359,354,335,347|0,0,0,0,0,0,0,0,0,0,0
 -9.40,-1.66,3.57,-0.31,0.18,0.26,344,359,355,336,345|0,0,0,0,0,0,0,0,0,0,0
 -10.06,-0.32,3.07,-0.65,0.18,0.04,344,360,356,336,348|0,0,0,0,0,0,0,0,0,0,0
 -9.04,4.12,3.17,-0.20,0.02,0.65,344,360,355,336,350|0,0,0,0,0,0,0,0,0,0,0
 -9.52,2.72,3.12,-0.02,-0.05,-0.07,344,359,355,336,349|0,0,0,0,0,0,0,0,0,0,0
 -9.60,1.50,2.94,-0.04,-0.01,-0.13,343,359,355,336,348|0,0,0,0,0,0,0,0,0,0,0
 END
 -8.09,1.83,5.24,-0.01,0.03,-0.05,334,357,347,328,349|0,0,0,0,0,0,0,0,0,0,0
 -8.47,2.46,5.08,-0.01,0.05,-0.00,334,357,345,328,349|0,0,0,0,0,0,0,0,0,0,0
 -7.57,2.18,4.07,0.68,-0.07,-0.85,335,356,345,328,348|0,0,0,0,0,0,0,0,0,0,0
 -9.38,-2.98,4.62,0.31,-0.27,-0.54,335,359,345,328,347|0,0,0,0,0,0,0,0,0,0,0
 -9.08,-2.32,5.23,-0.10,0.03,0.06,334,358,346,327,347|0,0,0,0,0,0,0,0,0,0,0
 -9.42,-1.46,4.15,-0.42,0.31,0.43,334,357,345,328,347|0,0,0,0,0,0,0,0,0,0,0
 -9.06,2.33,2.23,-0.57,0.26,0.49,334,358,345,328,347|0,0,0,0,0,0,0,0,0,0,0
 -8.22,7.14,2.40,-0.11,-0.04,0.08,333,360,346,327,346|0,0,0,0,0,0,0,0,0,0,0
 -8.74,3.54,3.27,-0.03,-0.06,-0.18,335,359,346,327,346|0,0,0,0,0,0,0,0,0,0,0
 -9.25,2.40,3.97,-0.17,0.01,-0.04,334,360,346,328,348|0,0,0,0,0,0,0,0,0,0,0
 -9.02,2.37,3.61,-0.05,0.00,-0.06,335,358,346,328,346|0,0,0,0,0,0,0,0,0,0,0
 END
 -9.10,2.28,4.00,-0.04,0.06,-0.07,334,360,347,326,350|0,0,0,0,0,0,0,0,0,0,0
 -9.12,3.50,4.23,0.09,0.03,-0.12,334,360,347,327,351|0,0,0,0,0,0,0,0,0,0,0
 -8.67,0.37,3.78,0.55,-0.16,-0.70,334,359,346,328,349|0,0,0,0,0,0,0,0,0,0,0
 -9.51,-0.71,3.53,0.30,-0.12,-0.29,331,362,354,324,336|0,0,0,0,0,0,0,0,0,0,0
 -9.64,0.26,4.26,-0.10,0.02,0.01,331,363,352,323,336|0,0,0,0,0,0,0,0,0,0,0
 -10.09,-0.11,3.27,-0.48,0.34,0.34,331,362,355,323,337|0,0,0,0,0,0,0,0,0,0,0
 -8.76,4.34,2.63,-0.61,0.36,0.51,332,362,353,326,338|0,0,0,0,0,0,0,0,0,0,0
 -9.12,4.06,2.12,-0.28,0.04,-0.02,330,361,349,325,336|0,0,0,0,0,0,0,0,0,0,0
 -9.12,3.59,3.42,-0.24,-0.20,-0.13,329,360,350,325,338|0,0,0,0,0,0,0,0,0,0,0
 -8.88,3.45,3.76,-0.10,-0.01,-0.06,331,360,351,324,338|0,0,0,0,0,0,0,0,0,0,0
 -8.79,3.17,3.55,-0.17,-0.00,-0.05,332,361,348,325,340|0,0,0,0,0,0,0,0,0,0,0
 END
 -8.36,3.19,4.38,-0.10,-0.01,0.01,331,360,347,326,339|0,0,0,0,0,0,0,0,0,0,0
 -7.89,5.88,4.21,0.28,0.01,-0.14,331,359,348,325,340|0,0,0,0,0,0,0,0,0,0,0
 -7.89,1.25,5.38,0.45,-0.41,-0.73,330,362,346,326,340|0,0,0,0,0,0,0,0,0,0,0
 -8.53,-1.21,6.32,-0.05,-0.19,-0.26,331,362,349,326,341|0,0,0,0,0,0,0,0,0,0,0
 -8.39,-0.27,6.15,-0.16,0.12,0.17,331,360,348,326,341|0,0,0,0,0,0,0,0,0,0,0
 -8.28,1.25,5.21,-0.33,0.34,0.55,332,358,348,327,341|0,0,0,0,0,0,0,0,0,0,0
 -7.27,4.44,4.64,-0.40,0.26,0.65,330,359,348,327,341|0,0,0,0,0,0,0,0,0,0,0
 -8.05,4.75,4.55,-0.10,0.01,0.03,333,359,349,327,341|0,0,0,0,0,0,0,0,0,0,0
 -8.16,3.62,4.26,-0.01,-0.04,-0.16,333,359,349,327,341|0,0,0,0,0,0,0,0,0,0,0
 -8.33,3.42,4.63,-0.05,0.01,-0.10,330,359,348,327,341|0,0,0,0,0,0,0,0,0,0,0
 -8.25,3.24,4.34,-0.04,0.00,-0.04,330,359,348,327,339|0,0,0,0,0,0,0,0,0,0,0
 END
 -8.36,3.15,4.59,-0.08,-0.03,-0.07,332,359,348,326,343|0,0,0,0,0,0,0,0,0,0,0
 -8.29,3.68,4.72,0.01,0.02,-0.07,333,359,349,327,342|0,0,0,0,0,0,0,0,0,0,0
 -7.78,3.79,3.66,0.32,-0.19,-0.50,332,359,348,327,342|0,0,0,0,0,0,0,0,0,0,0
 -7.64,0.53,7.57,0.41,-0.37,-0.74,332,360,346,326,342|0,0,0,0,0,0,0,0,0,0,0
 -8.26,-2.74,5.33,-0.03,-0.09,-0.36,331,361,348,327,340|0,0,0,0,0,0,0,0,0,0,0
 -8.07,-2.24,6.24,-0.09,-0.01,0.05,332,360,350,327,341|0,0,0,0,0,0,0,0,0,0,0
 -8.10,-1.69,5.36,-0.17,0.22,0.46,332,359,350,327,340|0,0,0,0,0,0,0,0,0,0,0
 -8.28,1.54,4.28,-0.34,0.24,0.62,331,358,351,327,341|0,0,0,0,0,0,0,0,0,0,0
 -7.84,4.62,4.05,-0.27,-0.04,0.30,332,358,350,326,343|0,0,0,0,0,0,0,0,0,0,0
 -8.21,3.17,4.85,-0.00,-0.02,-0.10,332,359,350,328,344|0,0,0,0,0,0,0,0,0,0,0
 -8.68,2.20,4.72,0.03,0.01,-0.15,332,357,350,328,343|0,0,0,0,0,0,0,0,0,0,0
 END
 -8.71,2.24,4.56,-0.02,0.08,-0.09,332,346,349,328,344|0,0,0,0,0,0,0,0,0,0,0
 -8.54,2.34,4.65,-0.06,-0.01,-0.02,332,346,349,327,344|0,0,0,0,0,0,0,0,0,0,0
 -8.56,2.43,4.93,-0.00,0.05,-0.04,333,348,349,330,343|0,0,0,0,0,0,0,0,0,0,0
 -8.03,3.18,4.75,0.23,-0.04,-0.36,332,348,349,329,345|0,0,0,0,0,0,0,0,0,0,0
 -8.30,0.89,4.62,0.29,-0.32,-0.57,332,348,349,328,345|0,0,0,0,0,0,0,0,0,0,0
 -7.59,-0.62,6.68,-0.03,-0.11,-0.65,332,346,350,328,344|0,0,0,0,0,0,0,0,0,0,0
 -7.51,-2.07,6.37,-0.15,0.07,-0.17,332,348,350,327,346|0,0,0,0,0,0,0,0,0,0,0
 -8.24,-2.66,6.50,-0.18,0.19,0.20,332,346,350,328,344|0,0,0,0,0,0,0,0,0,0,0
 -8.33,-0.67,4.81,-0.23,0.43,0.65,332,345,350,328,343|0,0,0,0,0,0,0,0,0,0,0
 -7.63,5.10,2.91,-0.51,0.16,0.38,332,346,350,327,343|0,0,0,0,0,0,0,0,0,0,0
 -8.66,3.70,4.13,-0.14,0.00,0.00,333,345,349,330,343|0,0,0,0,0,0,0,0,0,0,0
